Date,Morning,Evening
10/20/2008,,202.6
10/21/2008,200.6,202.2
10/22/2008,200,
10/23/2008,199.6,201.4
10/24/2008,200.2,202.4
10/25/2008,199.6,199.6
10/26/2008,198.6,202.2
10/27/2008,197.6,198.4
10/28/2008,197,198.8
10/29/2008,196.8,197.4
10/30/2008,197.6,199.6
10/31/2008,199.2,
11/2/2008,,200.6
11/3/2008,199.6,198.6
11/4/2008,196.6,198.4
11/5/2008,195.6,196.8
11/6/2008,195.8,195.6
11/7/2008,193.6,197
11/8/2008,193.6,194.2
11/9/2008,193.2,197.4
11/10/2008,,196
11/10/2008,192.2,191.6
11/12/2008,190.4,193.4
11/13/2008,193.8,192.2
11/14/2008,191.6,
11/16/2008,,193.2
11/17/2008,191.8,194
11/18/2008,192,193.6
11/19/2008,192.2,192.6
11/20/2008,191,191.8
11/21/2008,191,191.4
11/23/2008,,191.8
11/24/2008,191,191.6
11/25/2008,189.8,191
11/26/2008,191,
11/27/2008,,189.8
11/30/2008,,192.4
12/30/2008,,184.2
12/31/2008,182.2,182
4/4/2012,,197.6
4/5/2012,196.8,197.6
4/6/2012,196.2,199.8
4/7/2012,197.2,198.6
4/8/2012,198.6,197.8
4/9/2012,196.6,197.3
4/10/2012,196.3,196
4/11/2012,194.6,196.2
4/12/2012,195.2,196.4
4/13/2012,196.2,
4/15/2012,,196.6
4/16/2012,195.2,197.2
4/17/2012,195.7,195.4
4/18/2012,194.8,195.2
4/19/2012,194,193.6
4/20/2012,193.4,197
4/21/2012,194.6,196.4
4/22/2012,194.6,196.2
4/23/2012,194.8,195.6
4/24/2012,194.2,197.4
4/25/2012,194.4,194
4/26/2012,193.8,194.8
4/27/2012,193.6,
4/28/2012,193,194
4/29/2012,192.8,192.8
4/30/2012,191.8,191.2
5/1/2012,191.4,192.8
5/2/2012,191.8,192
5/3/2012,190.8,
5/4/2012,190.2,194.6
5/5/2012,192.2,193.2
5/6/2012,191.8,192
5/7/2012,192.4,191.8
5/8/2012,191.4,192.2
5/9/2012,190.8,190.2
5/13/2012,,194.6
5/14/2012,193.2,
5/15/2012,,191.6
5/16/2012,191.6,191.4
5/17/2012,190.8,
5/19/2012,,192
5/20/2012,191.4,190
5/21/2012,190.8,190
5/22/2012,189.8,190.2
5/23/2012,190.2,192.8
5/24/2012,191.2,190.2
5/25/2012,188.8,
5/28/2012,,189.8
5/29/2012,190,
5/30/2012,189.6,192.2
6/1/2012,,191.6
6/2/2012,187,189.9
6/3/2012,189.4,
6/4/2012,,188.6
6/5/2012,188,189.2
6/6/2012,188,
6/27/2012,,190
6/29/2012,188.2,
6/30/2012,185.8,
7/1/2012,,187.5
7/2/2012,185.8,
7/3/2012,185.7,
7/4/2012,184.8,
7/5/2012,184.7,
7/8/2012,185.5,
7/9/2012,,184.4
7/10/2012,,183.5
7/13/2012,185.2,
7/14/2012,,
7/15/2012,,
7/16/2012,183.4,
7/17/2012,,185
7/18/2012,182.4,
7/19/2012,,
7/20/2012,,182.8
7/21/2012,181.6,
7/22/2012,,
7/23/2012,,
7/24/2012,,
7/25/2012,,
7/26/2012,,
7/27/2012,,
7/28/2012,,182.8
7/29/2012,183.2,184.2
7/30/2012,182.8,183.4
7/31/2012,181.2,181.6
8/1/2012,181.8,183
8/2/2012,181,
8/3/2012,,
8/4/2012,183,184
8/5/2012,182,
8/6/2012,,
8/7/2012,,
8/8/2012,,
8/9/2012,181.6,184.6
8/10/2012,182.6,
8/11/2012,,
8/12/2012,,
8/13/2012,,
8/14/2012,181.6,
8/15/2012,181.6,183.8
8/16/2012,,184.4
8/17/2012,183.4,
8/18/2012,182.4,183.4
8/19/2012,,183.8
8/20/2012,183.4,184
8/21/2012,182.4,184.4
8/22/2012,182.4,
8/23/2012,,183.4
8/24/2012,,181.6
8/25/2012,,
8/26/2012,,
8/27/2012,184.7,185.2
8/28/2012,183.8,184.8
8/29/2012,184.2,
8/30/2012,,
8/31/2012,181.6,181.4
9/1/2012,179.6,
9/2/2012,181.2,183
9/3/2012,181,183.4
9/4/2012,181.4,183
9/5/2012,181.8,
9/6/2012,181.4,185
9/7/2012,181.8,183.8
9/8/2012,182.8,184.2
9/9/2012,182.4,183.2
9/10/2012,182.4,
9/11/2012,181.4,183.8
9/12/2012,181.4,182.8
9/13/2012,182.4,184
9/14/2012,181.2,
9/15/2012,181.8,
9/16/2012,,
9/17/2012,,182.4
9/18/2012,180.2,
9/19/2012,184.2,
10/1/2012,184.8,
10/2/2012,,
10/3/2012,,
10/4/2012,184,
10/5/2012,184.6,
11/9/2012,188.8,
11/20/2012,187.4,
11/27/2012,,187
11/28/2012,185.4,
11/29/2012,,
11/30/2012,,
12/1/2012,186.4,
1/2/2013,,188.6
1/3/2013,187.6,
1/8/2013,,185
1/9/2013,,
1/10/2013,,
1/11/2013,,188.6
1/12/2013,,
1/13/2013,,
1/14/2013,,188.8
1/15/2013,,187.4
1/28/2013,,186.4
3/18/2013,,184.5
6/18/2013,177,
6/19/2013,178.2,179.8
6/20/2013,,
6/21/2013,,181.2
6/22/2013,178.6,
6/23/2013,179,
6/24/2013,178.2,178.2
6/25/2013,177.8,
6/26/2013,178.4,
6/27/2013,178.8,
6/28/2013,178.2,
6/29/2013,179.6,
6/30/2013,179.4,
7/1/2013,178.2,
7/2/2013,178.8,
7/3/2013,177,
7/4/2013,179,
7/5/2013,,
7/6/2013,,
7/7/2013,176.2,
7/12/2013,,178.8
7/13/2013,,
7/14/2013,,180
7/15/2013,,180.2
7/16/2013,,179
7/17/2013,,182.8
7/18/2013,,179.8
7/21/2013,,179.4
7/22/2013,178.6,177.4
7/23/2013,175,177.6
7/24/2013,176.6,179.4
7/25/2013,176.4,177.4
7/26/2013,176.4,177
7/27/2013,177.2,179.4
7/28/2013,177.8,177.8
7/29/2013,175.4,178.4
7/30/2013,173.8,180.8
7/31/2013,178.2,178.2
8/1/2013,177,
8/2/2013,177.8,178
8/3/2013,177.8,182.8
8/4/2013,178.8,179.6
8/5/2013,177.6,177
8/6/2013,,175.6
8/7/2013,,178.6
8/8/2013,177.6,180.6
8/9/2013,178.2,180.2
8/10/2013,177.2,180.4
8/11/2013,178,178.4
8/12/2013,178.2,177.8
8/13/2013,178,
8/14/2013,177.6,178.8
8/15/2013,179,181
8/16/2013,177.8,181
8/17/2013,179.8,
8/18/2013,178.9,182.6
8/19/2013,181,179.2
8/23/2013,,178.8
8/24/2013,181,183
8/25/2013,179.4,
9/6/2013,,179.6
9/7/2013,177.6,
9/10/2013,,178.4
9/11/2013,,
9/12/2013,,
9/13/2013,,180.3
9/14/2013,179.3,
9/15/2013,,
9/16/2013,,
9/17/2013,,
9/18/2013,179.6,180.8
9/19/2013,177.8,179.9
9/20/2013,,
9/21/2013,,
9/22/2013,,
9/23/2013,,180
9/24/2013,179.2,
10/6/2013,,183
10/11/2013,,180.8
10/12/2013,,
10/13/2013,,181.8
10/14/2013,181.2,180.2
10/15/2013,180.1,178.9
10/16/2013,179.4,179.2
10/17/2013,178.4,
10/18/2013,179,
10/19/2013,180,
10/20/2013,179.8,180.4
10/21/2013,179.2,
10/22/2013,180.2,
10/23/2013,,
10/24/2013,177,
10/25/2013,179,179.2
10/26/2013,178.8,
11/11/2013,,177.4
11/12/2013,,
11/13/2013,,
11/14/2013,178.2,
11/15/2013,,178.8
11/16/2013,,
11/17/2013,,178.8
12/5/2013,177.6,
